,cluster-6-3,cluster-6-5,cluster-6-6,cluster-6-2,cluster-6-1,cluster-6-4
EX,0.5627705627705627,0.49783549783549785,0.9956709956709956,0.5454545454545454,0.5021645021645021,0.5367965367965367
TR,0.35064935064935066,0.4199134199134199,0.70995670995671,0.36363636363636365,0.3116883116883116,0.5367965367965368
LN,0.951417004048583,0.5870445344129555,0.7004048582995952,0.9109311740890689,0.9878542510121457,0.7611336032388665
PK,0.7227272727272727,0.4818181818181818,0.6727272727272727,0.7181818181818183,0.7636363636363637,0.8772727272727272
