,cluster-6-6,cluster-6-2,cluster-6-1,cluster-6-5,cluster-6-3,cluster-6-4
EX,0.9956709956709956,0.8225108225108225,0.5584415584415584,0.5021645021645021,0.6536796536796536,0.5194805194805194
TR,0.7272727272727273,0.5064935064935066,0.34199134199134196,0.2813852813852814,0.5584415584415584,0.2597402597402597
LN,0.6356275303643726,0.7935222672064777,0.9716599190283401,0.9757085020242915,0.8340080971659919,0.9838056680161944
PK,0.6545454545454545,0.6045454545454545,0.7727272727272727,0.759090909090909,0.8500000000000001,0.7590909090909091
